ID_station;ville;Région
7005;ABBEVILLE;Hauts-de-France
7015;LILLE-LESQUIN;Hauts-de-France
7020;PTE DE LA HAGUE;Normandie
7027;CAEN-CARPIQUET;Normandie
7037;ROUEN-BOOS;Normandie
7072;REIMS-PRUNAY;Grand-Est
7110;BREST-GUIPAVAS;Bretagne
7117;PLOUMANAC'H;Bretagne
7130;RENNES-ST JACQUES;Bretagne
7139;ALENCON;Normandie
7149;ORLY;Ile-de-France
7168;TROYES-BARBEREY;Grand-Est
7181;NANCY-OCHEY;Grand-Est
7190;STRASBOURG-ENTZHEIM;Grand-Est
7207;BELLE ILE-LE TALUT;Pays-de-la-Loire
7222;NANTES-BOUGUENAIS;Pays-de-la-Loire
7240;TOURS;Centre-Val de Loire
7255;BOURGES;Centre-Val de Loire
7280;DIJON-LONGVIC;Bourgogne-Franche-Comté
7299;BALE-MULHOUSE;Grand-Est
7314;PTE DE CHASSIRON;Nouvelle-Aquitaine
7335;POITIERS-BIARD;Nouvelle-Aquitaine
7434;LIMOGES-BELLEGARDE;Nouvelle-Aquitaine
7460;CLERMONT-FD;Auvergne-Rhône-Alpes
7471;LE PUY-LOUDES;Auvergne-Rhône-Alpes
7481;LYON-ST EXUPERY;Auvergne-Rhône-Alpes
7510;BORDEAUX-MERIGNAC;Nouvelle-Aquitaine
7535;GOURDON;Nouvelle-Aquitaine
7558;MILLAU;Occitanie
7577;MONTELIMAR;Auvergne-Rhône-Alpes
7591;EMBRUN;PACA
7607;MONT-DE-MARSAN;Nouvelle-Aquitaine
7621;TARBES-OSSUN;Occitanie
7627;ST GIRONS;Occitanie
7630;TOULOUSE-BLAGNAC;Occitanie
7643;MONTPELLIER;Occitanie
7650;MARIGNANE;PACA
7661;CAP CEPET;PACA
7690;NICE;PACA
7747;PERPIGNAN;Occitanie
7761;AJACCIO;CORSE
7790;BASTIA;CORSE
61968;GLORIEUSES;Mayotte
61970;JUAN DE NOVA;Mayotte
61972;EUROPA;Mayotte
61976;TROMELIN;Mayotte
61980;GILLOT-AEROPORT;Mayotte
61996;NOUVELLE AMSTERDAM;Mayotte
61997;CROZET;Mayotte
61998;KERGUELEN;Mayotte
67005;PAMANDZI;Mayotte
71805;ST-PIERRE;Mayotte
78890;LA DESIRADE METEO;Mayotte
78894;ST-BARTHELEMY METEO;Mayotte
78897;LE RAIZET AERO;Mayotte
78922;TRINITE-CARAVEL;Mayotte
78925;LAMENTIN-AERO;Mayotte
81401;SAINT LAURENT;Mayotte
81405;CAYENNE-MATOURY;Mayotte
81408;SAINT GEORGES;Mayotte
81415;MARIPASOULA;Mayotte
89642;DUMONT D'URVILLE;Mayotte
